fen,move,eval_before,eval_after,delta,label
r4rk1/ppq2pp1/3b3p/8/1P2Q3/P4N1P/1P1P1PP1/R1B3K1 b - - 0 21,Rae8,-266,-247,19,1
4rrk1/ppq2pp1/3b3p/8/1P2Q3/P4N1P/1P1P1PP1/R1B3K1 w - - 1 22,Qd5,-274,-333,-59,1
4rrk1/ppq2pp1/3b3p/3Q4/1P6/P4N1P/1P1P1PP1/R1B3K1 b - - 2 22,Re5,-332,225,557,1
5rk1/ppq2pp1/3b3p/3Qr3/1P6/P4N1P/1P1P1PP1/R1B3K1 w - - 3 23,Qb3,256,-169,-425,0
5rk1/ppq2pp1/3b3p/4r3/1P6/PQ3N1P/1P1P1PP1/R1B3K1 b - - 4 23,Re2,-180,-173,7,1
5rk1/ppq2pp1/3b3p/8/1P6/PQ3N1P/1P1PrPP1/R1B3K1 w - - 5 24,g3,-173,-476,-303,0
5rk1/ppq2pp1/3b3p/8/1P6/PQ3NPP/1P1PrP2/R1B3K1 b - - 0 24,b6,-549,-324,225,1
5rk1/p1q2pp1/1p1b3p/8/1P6/PQ3NPP/1P1PrP2/R1B3K1 w - - 0 25,Kg2,-334,-591,-257,0
5rk1/p1q2pp1/1p1b3p/8/1P6/PQ3NPP/1P1PrPK1/R1B5 b - - 1 25,Rfe8,-541,-302,239,1
4r1k1/p1q2pp1/1p1b3p/8/1P6/PQ3NPP/1P1PrPK1/R1B5 w - - 2 26,Nd4,-311,-316,-5,1
4r1k1/p1q2pp1/1p1b3p/8/1P1N4/PQ4PP/1P1PrPK1/R1B5 b - - 3 26,Bxg3,-363,191,554,1
4r1k1/p1q2pp1/1p5p/8/1P1N4/PQ4bP/1P1PrPK1/R1B5 w - - 0 27,Nxe2,133,-214,-347,0
4r1k1/p1q2pp1/1p5p/8/1P6/PQ4bP/1P1PNPK1/R1B5 b - - 0 27,Rxe2,-254,35,289,1
6k1/p1q2pp1/1p5p/8/1P6/PQ4bP/1P1PrPK1/R1B5 w - - 0 28,Qxg3,30,28,-2,1
6k1/p1q2pp1/1p5p/8/1P6/P5QP/1P1PrPK1/R1B5 b - - 0 28,Qc6+,49,143,94,1
6k1/p4pp1/1pq4p/8/1P6/P5QP/1P1PrPK1/R1B5 w - - 1 29,Kh2,134,0,-134,0
6k1/p4pp1/1pq4p/8/1P6/P5QP/1P1PrP1K/R1B5 b - - 2 29,Re5,0,687,687,1
6k1/p4pp1/1pq4p/4r3/1P6/P5QP/1P1P1P1K/R1B5 w - - 3 30,d4,662,0,-662,0
6k1/p4pp1/1pq4p/4r3/1P1P4/P5QP/1P3P1K/R1B5 b - - 0 30,Rg5,0,597,597,1
6k1/p4pp1/1pq4p/6r1/1P1P4/P5QP/1P3P1K/R1B5 w - - 1 31,Bxg5,541,596,55,1
6k1/p4pp1/1pq4p/6B1/1P1P4/P5QP/1P3P1K/R7 b - - 0 31,hxg5,626,626,0,1
6k1/p4pp1/1pq5/6p1/1P1P4/P5QP/1P3P1K/R7 w - - 0 32,Qxg5,548,617,69,1
6k1/p4pp1/1pq5/6Q1/1P1P4/P6P/1P3P1K/R7 b - - 0 32,Qd6+,621,669,48,1
6k1/p4pp1/1p1q4/6Q1/1P1P4/P6P/1P3P1K/R7 w - - 1 33,Qg3,692,619,-73,1
6k1/p4pp1/1p1q4/8/1P1P4/P5QP/1P3P1K/R7 b - - 2 33,Qxd4,649,619,-30,1
6k1/p4pp1/1p6/8/1P1q4/P5QP/1P3P1K/R7 w - - 0 34,Qc3,610,436,-174,0
6k1/p4pp1/1p6/8/1P1q4/P1Q4P/1P3P1K/R7 b - - 1 34,Qf4+,454,605,151,1
6k1/p4pp1/1p6/8/1P3q2/P1Q4P/1P3P1K/R7 w - - 2 35,Qg3,585,548,-37,1
6k1/p4pp1/1p6/8/1P3q2/P5QP/1P3P1K/R7 b - - 3 35,Qd4,590,608,18,1
6k1/p4pp1/1p6/8/1P1q4/P5QP/1P3P1K/R7 w - - 4 36,Qe3,596,576,-20,1
6k1/p4pp1/1p6/8/1P1q4/P3Q2P/1P3P1K/R7 b - - 5 36,Qxb2,554,548,-6,1
6k1/p4pp1/1p6/8/1P6/P3Q2P/1q3P1K/R7 w - - 0 37,Qc1,587,239,-348,0
6k1/p4pp1/1p6/8/1P6/P6P/1q3P1K/R1Q5 b - - 1 37,Qe5+,265,499,234,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,35,42,7,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5,31,47,16,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,41,29,-12,1
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d6,41,48,7,1
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d4,55,36,-19,1
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,cxd4,39,47,8,1
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Nxd4,61,49,-12,1
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nf6,43,56,13,1
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Bd3,46,26,-20,1
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 2 5,e6,-7,43,50,1
rnbqkb1r/pp3ppp/3ppn2/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 6,O-O,54,48,-6,1
rnbqkb1r/pp3ppp/3ppn2/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 b kq - 1 6,Be7,37,35,-2,1
rnbqk2r/pp2bppp/3ppn2/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 w kq - 2 7,f4,31,20,-11,1
rnbqk2r/pp2bppp/3ppn2/8/3NPP2/3B4/PPP3PP/RNBQ1RK1 b kq - 0 7,O-O,11,24,13,1
rnbq1rk1/pp2bppp/3ppn2/8/3NPP2/3B4/PPP3PP/RNBQ1RK1 w - - 1 8,Kh1,26,26,0,1
rnbq1rk1/pp2bppp/3ppn2/8/3NPP2/3B4/PPP3PP/RNBQ1R1K b - - 2 8,Qb6,24,82,58,1
rnb2rk1/pp2bppp/1q1ppn2/8/3NPP2/3B4/PPP3PP/RNBQ1R1K w - - 3 9,c3,96,20,-76,1
rnb2rk1/pp2bppp/1q1ppn2/8/3NPP2/2PB4/PP4PP/RNBQ1R1K b - - 0 9,Nc6,16,34,18,1
r1b2rk1/pp2bppp/1qnppn2/8/3NPP2/2PB4/PP4PP/RNBQ1R1K w - - 1 10,Nxc6,38,33,-5,1
r1b2rk1/pp2bppp/1qNppn2/8/4PP2/2PB4/PP4PP/RNBQ1R1K b - - 0 10,bxc6,35,33,-2,1
r1b2rk1/p3bppp/1qpppn2/8/4PP2/2PB4/PP4PP/RNBQ1R1K w - - 0 11,e5,62,28,-34,1
r1b2rk1/p3bppp/1qpppn2/4P3/5P2/2PB4/PP4PP/RNBQ1R1K b - - 0 11,Nd5,37,71,34,1
r1b2rk1/p3bppp/1qppp3/3nP3/5P2/2PB4/PP4PP/RNBQ1R1K w - - 1 12,Qh5,73,27,-46,1
r1b2rk1/p3bppp/1qppp3/3nP2Q/5P2/2PB4/PP4PP/RNB2R1K b - - 2 12,g6,19,17,-2,1
r1b2rk1/p3bp1p/1qppp1p1/3nP2Q/5P2/2PB4/PP4PP/RNB2R1K w - - 0 13,Qh3,14,-28,-42,1
r1b2rk1/p3bp1p/1qppp1p1/3nP3/5P2/2PB3Q/PP4PP/RNB2R1K b - - 1 13,dxe5,-35,-7,28,1
r1b2rk1/p3bp1p/1qp1p1p1/3np3/5P2/2PB3Q/PP4PP/RNB2R1K w - - 0 14,fxe5,3,-12,-15,1
r1b2rk1/p3bp1p/1qp1p1p1/3nP3/8/2PB3Q/PP4PP/RNB2R1K b - - 0 14,Bc5,3,223,220,1
r1b2rk1/p4p1p/1qp1p1p1/2bnP3/8/2PB3Q/PP4PP/RNB2R1K w - - 1 15,Bh6,221,222,1,1
r1b2rk1/p4p1p/1qp1p1pB/2bnP3/8/2PB3Q/PP4PP/RN3R1K b - - 2 15,Ne3,217,277,60,1
r1b2rk1/p4p1p/1qp1p1pB/2b1P3/8/2PBn2Q/PP4PP/RN3R1K w - - 3 16,Re1,270,-89,-359,0
r1b2rk1/p4p1p/1qp1p1pB/2b1P3/8/2PBn2Q/PP4PP/RN2R2K b - - 4 16,Nf5,-40,236,276,1
r1b2rk1/p4p1p/1qp1p1pB/2b1Pn2/8/2PB3Q/PP4PP/RN2R2K w - - 5 17,Bxf5,220,120,-100,1
r1b2rk1/p4p1p/1qp1p1pB/2b1PB2/8/2P4Q/PP4PP/RN2R2K b - - 0 17,exf5,118,113,-5,1
r1b2rk1/p4p1p/1qp3pB/2b1Pp2/8/2P4Q/PP4PP/RN2R2K w - - 0 18,Bxf8,130,128,-2,1
r1b2Bk1/p4p1p/1qp3p1/2b1Pp2/8/2P4Q/PP4PP/RN2R2K b - - 0 18,Bxf8,103,121,18,1
r1b2bk1/p4p1p/1qp3p1/4Pp2/8/2P4Q/PP4PP/RN2R2K w - - 0 19,b3,116,107,-9,1
r1b2bk1/p4p1p/1qp3p1/4Pp2/8/1PP4Q/P5PP/RN2R2K b - - 0 19,Bb7,120,213,93,1
r4bk1/pb3p1p/1qp3p1/4Pp2/8/1PP4Q/P5PP/RN2R2K w - - 1 20,Nd2,201,231,30,1
r4bk1/pb3p1p/1qp3p1/4Pp2/8/1PP4Q/P2N2PP/R3R2K b - - 2 20,Qf2,241,218,-23,1
r4bk1/pb3p1p/2p3p1/4Pp2/8/1PP4Q/P2N1qPP/R3R2K w - - 3 21,Nf3,216,220,4,1
r4bk1/pb3p1p/2p3p1/4Pp2/8/1PP2N1Q/P4qPP/R3R2K b - - 4 21,c5,221,372,151,1
r4bk1/pb3p1p/6p1/2p1Pp2/8/1PP2N1Q/P4qPP/R3R2K w - - 0 22,Rf1,351,151,-200,0
r4bk1/pb3p1p/6p1/2p1Pp2/8/1PP2N1Q/P4qPP/R4R1K b - - 1 22,Qb2,156,144,-12,1
r4bk1/pb3p1p/6p1/2p1Pp2/8/1PP2N1Q/Pq4PP/R4R1K w - - 2 23,c4,196,88,-108,0
r4bk1/pb3p1p/6p1/2p1Pp2/2P5/1P3N1Q/Pq4PP/R4R1K b - - 0 23,Rd8,119,143,24,1
3r1bk1/pb3p1p/6p1/2p1Pp2/2P5/1P3N1Q/Pq4PP/R4R1K w - - 1 24,Ng5,114,83,-31,1
3r1bk1/pb3p1p/6p1/2p1PpN1/2P5/1P5Q/Pq4PP/R4R1K b - - 2 24,h5,45,58,13,1
3r1bk1/pb3p2/6p1/2p1PpNp/2P5/1P5Q/Pq4PP/R4R1K w - - 0 25,e6,45,0,-45,1
3r1bk1/pb3p2/4P1p1/2p2pNp/2P5/1P5Q/Pq4PP/R4R1K b - - 0 25,Rd2,-31,218,249,1
5bk1/pb3p2/4P1p1/2p2pNp/2P5/1P5Q/Pq1r2PP/R4R1K w - - 1 26,Rg1,215,-395,-610,0
5bk1/pb3p2/4P1p1/2p2pNp/2P5/1P5Q/Pq1r2PP/R5RK b - - 2 26,f6,-419,241,660,1
5bk1/pb6/4Ppp1/2p2pNp/2P5/1P5Q/Pq1r2PP/R5RK w - - 0 27,Nf3,271,261,-10,1
5bk1/pb6/4Ppp1/2p2p1p/2P5/1P3N1Q/Pq1r2PP/R5RK b - - 1 27,Rd3,290,365,75,1
5bk1/pb6/4Ppp1/2p2p1p/2P5/1P1r1N1Q/Pq4PP/R5RK w - - 2 28,Qg3,378,441,63,1
5bk1/pb6/4Ppp1/2p2p1p/2P5/1P1r1NQ1/Pq4PP/R5RK b - - 3 28,Kg7,430,590,160,1
5b2/pb4k1/4Ppp1/2p2p1p/2P5/1P1r1NQ1/Pq4PP/R5RK w - - 4 29,Qc7+,515,564,49,1
5b2/pbQ3k1/4Ppp1/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK b - - 5 29,Kh6,555,594,39,1
5b2/pbQ5/4Pppk/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK w - - 6 30,Qxb7,524,561,37,1
5b2/pQ6/4Pppk/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK b - - 0 30,Bd6,570,619,49,1
8/pQ6/3bPppk/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK w - - 1 31,e7,651,571,-80,1
8/pQ2P3/3b1ppk/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK b - - 0 31,Bxe7,573,642,69,1
8/pQ2b3/5ppk/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK w - - 0 32,Qxe7,650,688,38,1
8/p3Q3/5ppk/2p2p1p/2P5/1P1r1N2/Pq4PP/R5RK b - - 0 32,Rxf3,677,707,30,1
8/p3Q3/5ppk/2p2p1p/2P5/1P3r2/Pq4PP/R5RK w - - 0 33,gxf3,749,723,-26,1
8/p3Q3/5ppk/2p2p1p/2P5/1P3P2/Pq5P/R5RK b - - 0 33,h4,762,9994,9232,1
8/p3Q3/5ppk/2p2p2/2P4p/1P3P2/Pq5P/R5RK w - - 0 34,Qf8+,9994,9995,1,1
5Q2/p7/5ppk/2p2p2/2P4p/1P3P2/Pq5P/R5RK b - - 1 34,Kh5,9995,9999,4,1
5Q2/p7/5pp1/2p2p1k/2P4p/1P3P2/Pq5P/R5RK w - - 2 35,Qh8#,9999,10000,1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,37,40,3,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,32,30,-2,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f4,33,-54,-87,1
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,exf4,-34,-33,1,1
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,Nf3,-27,-20,7,1
rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,f6,-20,148,168,1
rnbqkbnr/pppp2pp/5p2/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,Bc4,125,78,-47,1
rnbqkbnr/pppp2pp/5p2/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq - 1 4,Bc5,100,190,90,1
rnbqk1nr/pppp2pp/5p2/2b5/2B1Pp2/5N2/PPPP2PP/RNBQK2R w KQkq - 2 5,d4,222,222,0,1
rnbqk1nr/pppp2pp/5p2/2b5/2BPPp2/5N2/PPP3PP/RNBQK2R b KQkq - 0 5,Bb6,182,217,35,1
rnbqk1nr/pppp2pp/1b3p2/8/2BPPp2/5N2/PPP3PP/RNBQK2R w KQkq - 1 6,c3,228,117,-111,0
rnbqk1nr/pppp2pp/1b3p2/8/2BPPp2/2P2N2/PP4PP/RNBQK2R b KQkq - 0 6,c6,136,161,25,1
rnbqk1nr/pp1p2pp/1bp2p2/8/2BPPp2/2P2N2/PP4PP/RNBQK2R w KQkq - 0 7,Bxf4,144,102,-42,1
rnbqk1nr/pp1p2pp/1bp2p2/8/2BPPB2/2P2N2/PP4PP/RN1QK2R b KQkq - 0 7,d5,111,115,4,1
rnbqk1nr/pp4pp/1bp2p2/3p4/2BPPB2/2P2N2/PP4PP/RN1QK2R w KQkq - 0 8,exd5,136,122,-14,1
rnbqk1nr/pp4pp/1bp2p2/3P4/2BP1B2/2P2N2/PP4PP/RN1QK2R b KQkq - 0 8,cxd5,101,108,7,1
rnbqk1nr/pp4pp/1b3p2/3p4/2BP1B2/2P2N2/PP4PP/RN1QK2R w KQkq - 0 9,Bb5+,104,39,-65,1
rnbqk1nr/pp4pp/1b3p2/1B1p4/3P1B2/2P2N2/PP4PP/RN1QK2R b KQkq - 1 9,Nc6,42,53,11,1
r1bqk1nr/pp4pp/1bn2p2/1B1p4/3P1B2/2P2N2/PP4PP/RN1QK2R w KQkq - 2 10,O-O,56,47,-9,1
r1bqk1nr/pp4pp/1bn2p2/1B1p4/3P1B2/2P2N2/PP4PP/RN1Q1RK1 b kq - 3 10,Bg4,46,74,28,1
r2qk1nr/pp4pp/1bn2p2/1B1p4/3P1Bb1/2P2N2/PP4PP/RN1Q1RK1 w kq - 4 11,Re1+,74,31,-43,1
r2qk1nr/pp4pp/1bn2p2/1B1p4/3P1Bb1/2P2N2/PP4PP/RN1QR1K1 b kq - 5 11,Ne7,26,29,3,1
r2qk2r/pp2n1pp/1bn2p2/1B1p4/3P1Bb1/2P2N2/PP4PP/RN1QR1K1 w kq - 6 12,Nbd2,32,27,-5,1
r2qk2r/pp2n1pp/1bn2p2/1B1p4/3P1Bb1/2P2N2/PP1N2PP/R2QR1K1 b kq - 7 12,Bc7,32,84,52,1
r2qk2r/ppb1n1pp/2n2p2/1B1p4/3P1Bb1/2P2N2/PP1N2PP/R2QR1K1 w kq - 8 13,Bxc7,89,67,-22,1
r2qk2r/ppB1n1pp/2n2p2/1B1p4/3P2b1/2P2N2/PP1N2PP/R2QR1K1 b kq - 0 13,Qxc7,61,67,6,1
r3k2r/ppq1n1pp/2n2p2/1B1p4/3P2b1/2P2N2/PP1N2PP/R2QR1K1 w kq - 0 14,Qa4,75,15,-60,1
r3k2r/ppq1n1pp/2n2p2/1B1p4/Q2P2b1/2P2N2/PP1N2PP/R3R1K1 b kq - 1 14,O-O,20,23,3,1
r4rk1/ppq1n1pp/2n2p2/1B1p4/Q2P2b1/2P2N2/PP1N2PP/R3R1K1 w - - 2 15,Rac1,18,11,-7,1
r4rk1/ppq1n1pp/2n2p2/1B1p4/Q2P2b1/2P2N2/PP1N2PP/2R1R1K1 b - - 3 15,a6,6,12,6,1
r4rk1/1pq1n1pp/p1n2p2/1B1p4/Q2P2b1/2P2N2/PP1N2PP/2R1R1K1 w - - 0 16,Bxc6,14,-32,-46,1
r4rk1/1pq1n1pp/p1B2p2/3p4/Q2P2b1/2P2N2/PP1N2PP/2R1R1K1 b - - 0 16,Nxc6,-19,-15,4,1
r4rk1/1pq3pp/p1n2p2/3p4/Q2P2b1/2P2N2/PP1N2PP/2R1R1K1 w - - 0 17,c4,-15,-64,-49,1
r4rk1/1pq3pp/p1n2p2/3p4/Q1PP2b1/5N2/PP1N2PP/2R1R1K1 b - - 0 17,dxc4,-73,22,95,1
r4rk1/1pq3pp/p1n2p2/8/Q1pP2b1/5N2/PP1N2PP/2R1R1K1 w - - 0 18,Qxc4+,29,36,7,1
r4rk1/1pq3pp/p1n2p2/8/2QP2b1/5N2/PP1N2PP/2R1R1K1 b - - 0 18,Kh8,8,92,84,1
r4r1k/1pq3pp/p1n2p2/8/2QP2b1/5N2/PP1N2PP/2R1R1K1 w - - 1 19,d5,76,82,6,1
r4r1k/1pq3pp/p1n2p2/3P4/2Q3b1/5N2/PP1N2PP/2R1R1K1 b - - 0 19,Bxf3,82,127,45,1
r4r1k/1pq3pp/p1n2p2/3P4/2Q5/5b2/PP1N2PP/2R1R1K1 w - - 0 20,Nxf3,135,63,-72,1
r4r1k/1pq3pp/p1n2p2/3P4/2Q5/5N2/PP4PP/2R1R1K1 b - - 0 20,Rac8,99,486,387,1
2r2r1k/1pq3pp/p1n2p2/3P4/2Q5/5N2/PP4PP/2R1R1K1 w - - 1 21,dxc6,484,505,21,1
2r2r1k/1pq3pp/p1P2p2/8/2Q5/5N2/PP4PP/2R1R1K1 b - - 0 21,bxc6,504,551,47,1
2r2r1k/2q3pp/p1p2p2/8/2Q5/5N2/PP4PP/2R1R1K1 w - - 0 22,Nd4,535,433,-102,0
2r2r1k/2q3pp/p1p2p2/8/2QN4/8/PP4PP/2R1R1K1 b - - 1 22,Qb6,443,434,-9,1
2r2r1k/6pp/pqp2p2/8/2QN4/8/PP4PP/2R1R1K1 w - - 2 23,Kh1,447,409,-38,1
2r2r1k/6pp/pqp2p2/8/2QN4/8/PP4PP/2R1R2K b - - 3 23,c5,433,457,24,1
2r2r1k/6pp/pq3p2/2p5/2QN4/8/PP4PP/2R1R2K w - - 0 24,Ne6,438,427,-11,1
2r2r1k/6pp/pq2Np2/2p5/2Q5/8/PP4PP/2R1R2K b - - 1 24,Rfe8,475,478,3,1
2r1r2k/6pp/pq2Np2/2p5/2Q5/8/PP4PP/2R1R2K w - - 2 25,Nxc5,428,390,-38,1
2r1r2k/6pp/pq3p2/2N5/2Q5/8/PP4PP/2R1R2K b - - 0 25,Rxe1+,390,474,84,1
2r4k/6pp/pq3p2/2N5/2Q5/8/PP4PP/2R1r2K w - - 0 26,Rxe1,460,434,-26,1
2r4k/6pp/pq3p2/2N5/2Q5/8/PP4PP/4R2K b - - 0 26,Qxb2,439,447,8,1
2r4k/6pp/p4p2/2N5/2Q5/8/Pq4PP/4R2K w - - 0 27,Nxa6,472,436,-36,1
2r4k/6pp/N4p2/8/2Q5/8/Pq4PP/4R2K b - - 0 27,Qb7,419,448,29,1
2r4k/1q4pp/N4p2/8/2Q5/8/P5PP/4R2K w - - 1 28,Nc5,437,367,-70,1
2r4k/1q4pp/5p2/2N5/2Q5/8/P5PP/4R2K b - - 2 28,Qb8,384,464,80,1
1qr4k/6pp/5p2/2N5/2Q5/8/P5PP/4R2K w - - 3 29,Qf7,429,477,48,1
1qr4k/5Qpp/5p2/2N5/8/8/P5PP/4R2K b - - 4 29,h6,489,467,-22,1
1qr4k/5Qp1/5p1p/2N5/8/8/P5PP/4R2K w - - 0 30,Nd7,460,359,-101,0
1qr4k/3N1Qp1/5p1p/8/8/8/P5PP/4R2K b - - 1 30,Qc7,388,807,419,1
2r4k/2qN1Qp1/5p1p/8/8/8/P5PP/4R2K w - - 2 31,Re8+,860,876,16,1
2r1R2k/2qN1Qp1/5p1p/8/8/8/P5PP/7K b - - 3 31,Rxe8,9988,9988,0,1
4r2k/2qN1Qp1/5p1p/8/8/8/P5PP/7K w - - 0 32,Qxe8+,9988,9989,1,1
4Q2k/2qN2p1/5p1p/8/8/8/P5PP/7K b - - 0 32,Kh7,9989,9989,0,1
4Q3/2qN2pk/5p1p/8/8/8/P5PP/7K w - - 1 33,Nf8+,9989,9990,1,1
4QN2/2q3pk/5p1p/8/8/8/P5PP/7K b - - 2 33,Kg8,9990,9990,0,1
4QNk1/2q3p1/5p1p/8/8/8/P5PP/7K w - - 3 34,Ne6+,9990,9991,1,1
4Q1k1/2q3p1/4Np1p/8/8/8/P5PP/7K b - - 4 34,Kh7,9991,9992,1,1
4Q3/2q3pk/4Np1p/8/8/8/P5PP/7K w - - 5 35,Nxc7,9992,9993,1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,40,34,-6,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c6,38,58,20,1
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d4,41,39,-2,1
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d5,35,36,1,1
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e5,41,43,2,1
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,Bf5,43,38,-5,1
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,g4,39,1,-38,1
rn1qkbnr/pp2pppp/2p5/3pPb2/3P2P1/8/PPP2P1P/RNBQKBNR b KQkq - 0 4,Bg6,6,56,50,1
rn1qkbnr/pp2pppp/2p3b1/3pP3/3P2P1/8/PPP2P1P/RNBQKBNR w KQkq - 1 5,h4,43,-18,-61,1
rn1qkbnr/pp2pppp/2p3b1/3pP3/3P2PP/8/PPP2P2/RNBQKBNR b KQkq - 0 5,h6,-10,105,115,1
rn1qkbnr/pp2ppp1/2p3bp/3pP3/3P2PP/8/PPP2P2/RNBQKBNR w KQkq - 0 6,h5,115,89,-26,1
rn1qkbnr/pp2ppp1/2p3bp/3pP2P/3P2P1/8/PPP2P2/RNBQKBNR b KQkq - 0 6,Be4,108,105,-3,1
rn1qkbnr/pp2ppp1/2p4p/3pP2P/3Pb1P1/8/PPP2P2/RNBQKBNR w KQkq - 1 7,e6,106,-270,-376,0
rn1qkbnr/pp2ppp1/2p1P2p/3p3P/3Pb1P1/8/PPP2P2/RNBQKBNR b KQkq - 0 7,Bxh1,-239,-255,-16,1
rn1qkbnr/pp2ppp1/2p1P2p/3p3P/3P2P1/8/PPP2P2/RNBQKBNb w Qkq - 0 8,exf7+,-236,-252,-16,1
rn1qkbnr/pp2pPp1/2p4p/3p3P/3P2P1/8/PPP2P2/RNBQKBNb b Qkq - 0 8,Kxf7,-239,-229,10,1
rn1q1bnr/pp2pkp1/2p4p/3p3P/3P2P1/8/PPP2P2/RNBQKBNb w Q - 0 9,Qe2,-250,-287,-37,1
rn1q1bnr/pp2pkp1/2p4p/3p3P/3P2P1/8/PPP1QP2/RNB1KBNb b Q - 1 9,Nf6,-279,-301,-22,1
rn1q1b1r/pp2pkp1/2p2n1p/3p3P/3P2P1/8/PPP1QP2/RNB1KBNb w Q - 2 10,f3,-260,-342,-82,1
rn1q1b1r/pp2pkp1/2p2n1p/3p3P/3P2P1/5P2/PPP1Q3/RNB1KBNb b Q - 0 10,Qd6,-332,-334,-2,1
rn3b1r/pp2pkp1/2pq1n1p/3p3P/3P2P1/5P2/PPP1Q3/RNB1KBNb w Q - 1 11,Nh3,-387,-404,-17,1
rn3b1r/pp2pkp1/2pq1n1p/3p3P/3P2P1/5P1N/PPP1Q3/RNB1KB1b b Q - 2 11,Qg3+,-405,-440,-35,1
rn3b1r/pp2pkp1/2p2n1p/3p3P/3P2P1/5PqN/PPP1Q3/RNB1KB1b w Q - 3 12,Qf2,-427,-436,-9,1
rn3b1r/pp2pkp1/2p2n1p/3p3P/3P2P1/5PqN/PPP2Q2/RNB1KB1b b Q - 4 12,Qxf2+,-414,-316,98,1
rn3b1r/pp2pkp1/2p2n1p/3p3P/3P2P1/5P1N/PPP2q2/RNB1KB1b w Q - 0 13,Kxf2,-330,-350,-20,1
rn3b1r/pp2pkp1/2p2n1p/3p3P/3P2P1/5P1N/PPP2K2/RNB2B1b b - - 0 13,Nxg4+,-335,-337,-2,1
rn3b1r/pp2pkp1/2p4p/3p3P/3P2n1/5P1N/PPP2K2/RNB2B1b w - - 0 14,fxg4,-353,-337,16,1
rn3b1r/pp2pkp1/2p4p/3p3P/3P2P1/7N/PPP2K2/RNB2B1b b - - 0 14,Be4,-331,-291,40,1
rn3b1r/pp2pkp1/2p4p/3p3P/3Pb1P1/7N/PPP2K2/RNB2B2 w - - 1 15,Nc3,-282,-331,-49,1
rn3b1r/pp2pkp1/2p4p/3p3P/3Pb1P1/2N4N/PPP2K2/R1B2B2 b - - 2 15,Bxc2,-347,-335,12,1
rn3b1r/pp2pkp1/2p4p/3p3P/3P2P1/2N4N/PPb2K2/R1B2B2 w - - 0 16,Bf4,-321,-339,-18,1
